剧名,url,更新集数,付费集数,id,总弹幕,播放量,追剧人数,抓取错误,id2,总弹幕2,追剧人数2,播放量2,ID周增,总弹幕周增,追剧周增,播放周增,追剧周增率,播放周增率,比例差,本周ID活跃比
精神科医生神经了,93567.0,小剧场④做检查,25.0,566.0,23616.0,509752.0,15086.0,,566.0,23616.0,15086.0,509752.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03751822882142384
大王万万不可1,94259.0,第十五集·轮番上场,12.0,595.0,20236.0,587293.0,17208.0,,595.0,20236.0,17208.0,587293.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0345769409576941
难言之欲,94857.0,E7,6.0,515.0,15374.0,339904.0,11950.0,,515.0,15374.0,11950.0,339904.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04309623430962343
解瘾,94782.0,花絮6❃亲不动了要秃噜皮啦,8.0,478.0,11128.0,703487.0,15053.0,,478.0,11128.0,15053.0,703487.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03175446754799708
清白之年,94838.0,第十集·致橡树,5.0,468.0,9379.0,664022.0,15918.0,,468.0,9379.0,15918.0,664022.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.029400678477195626
合笼蛊,94418.0,小剧场·中秋,9.0,313.0,9039.0,627146.0,10158.0,,313.0,9039.0,10158.0,627146.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03081315219531404
愚蠢的有钱人（广播剧版）,94873.0,第九集,9.0,248.0,6647.0,216908.0,8090.0,,248.0,6647.0,8090.0,216908.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.030655129789864028
我在霸总文学里当家庭医生 上,91680.0,第十二集,9.0,86.0,4841.0,107743.0,8413.0,,86.0,4841.0,8413.0,107743.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.010222275050517057
干涸地,86725.0,花絮01,2.0,94.0,1864.0,2335202.0,95666.0,,94.0,1864.0,95666.0,2335202.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0009825852444964773
请与我同眠,93966.0,花絮08·什么？！女娘？！！,12.0,31.0,341.0,85914.0,6468.0,,31.0,341.0,6468.0,85914.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00479282622139765
